"run_id","n_features_available","n_features_after_screening","dsen_win_rate","mean_improvement","median_improvement","n_targets_recovered_at_0.5"
"dsen_all",86546,5361.24981132075,92.4528301886792,4.95395140513789,3.9547795631255,0
"dsen_no_rppa",86407,5326.71698113208,91.3207547169811,4.9205365805194,3.73125098565483,0
"dsen_expr_mut_cn",86315,5307.29962264151,90.5660377358491,4.70609457221276,3.64213960060259,0
"dsen_expr_only",18960,3224.45080645161,92.741935483871,3.56929765573574,2.66846111346531,0
"dsen_mut_only",44039,514.076226415094,92.8301886792453,5.53323946561803,3.74319590659768,0
"dsen_rppa_only",139,35.0367816091954,91.1877394636015,3.04944952888246,1.39599847503699,0
"dsen_rppa_phospho",39,9.45114155251142,89.4977168949772,2.12158531211303,1.48090217825948,0
"dsen_rppa_total",100,27.28359375,91.40625,3.43895500949664,1.65284968762469,0
"dsen_all_no_phospho",86507,5353.18716981132,92.0754716981132,4.9728796427368,3.74191102341291,0
"dsen_all_no_total_rppa",86446,5334.77962264151,92.4528301886792,4.92530122676514,3.88792690453636,0
"dsen_rppa_genes_expr",112,31.6455089820359,94.0119760479042,6.24625862864931,6.64578627286511,0
"dsen_rppa_genes_all_modalities",517,42.6176923076923,84.6153846153846,3.60324276229309,1.62314948868751,0
